,0,1,MeanDecreaseAccuracy,MeanDecreaseGini,importance
num_op_var40_comer_ult3,5.53E-06,2.43E-05,6.25E-06,0.964818309,0
num_op_var40_efect_ult1,-3.05E-06,4.87E-05,-1.08E-06,1.274597324,0
num_op_var40_efect_ult3,-4.34E-06,2.42E-05,-3.25E-06,1.217613019,0
num_op_var41_efect_ult1,0.000698448,-0.000636931,0.000647396,15.15384448,1
num_op_var41_efect_ult3,0.001496141,-0.001175859,0.001393551,22.35719168,1
num_sal_var16_ult1,5.71E-06,1.04E-05,5.87E-06,2.095930407,0
num_var43_emit_ult1,0.000316805,-0.000332341,0.000292045,11.9349122,1
num_var43_recib_ult1,0.000332743,-0.000571741,0.000297864,14.0460177,1
num_trasp_var11_ult1,4.28E-05,-0.000100618,3.73E-05,4.13963562,1
num_var45_hace2,0.003147034,-0.005430745,0.002818454,57.44958898,1
num_var45_hace3,0.001738414,-0.002424622,0.001579438,56.84034927,1
num_var45_ult1,0.002147208,-0.004738313,0.001883124,48.45353147,1
saldo_medio_var5_hace2,0.009558942,-0.012373274,0.008718955,82.9056609,1
saldo_medio_var5_hace3,0.003778929,-0.004869975,0.003448164,72.00734505,1
saldo_medio_var5_ult1,0.018577878,-0.021030038,0.017067586,79.68284073,1
saldo_medio_var5_ult3,0.023224462,-0.026794996,0.021305827,91.83487625,1
saldo_medio_var8_hace2,0.000258426,-0.000441393,0.00023175,7.953603723,1
saldo_medio_var8_hace3,2.63E-05,-1.42E-05,2.47E-05,3.489812666,1
saldo_medio_var8_ult1,0.001752326,-0.002481726,0.00159023,14.57819955,1
saldo_medio_var8_ult3,0.001791312,-0.00261163,0.001622802,14.92759997,1
saldo_medio_var12_hace2,0.000641522,-5.32E-05,0.000614928,4.437356591,1
saldo_medio_var12_hace3,9.91E-05,-0.00012959,9.02E-05,1.635478837,0
saldo_medio_var12_ult1,0.001222823,-0.000231806,0.001167176,5.455525456,1
saldo_medio_var13_corto_hace3,6.30E-05,-3.70E-05,5.92E-05,0.954537738,0
saldo_medio_var13_corto_ult3,0.000270608,-1.36E-05,0.000259648,4.44126457,1
saldo_medio_var13_largo_hace2,1.77E-06,0,1.70E-06,0.118673467,0
saldo_medio_var13_largo_hace3,3.22E-07,0,3.09E-07,0.052043014,0
saldo_medio_var13_largo_ult1,2.49E-06,2.04E-06,2.47E-06,0.126863629,0
saldo_medio_var17_hace3,0,0,0,0.013211829,0
saldo_medio_var29_hace2,0,0,0,0.003027332,0
saldo_medio_var33_hace2,0,0,0,0.016639262,0
saldo_medio_var33_hace3,0,0,0,0.002396448,0
saldo_medio_var44_hace3,0,0,0,0.008534827,0
saldo_medio_var44_ult1,0,0,0,0.032462892,0
var38,0.000177881,0.000717779,0.000198428,155.4729862,1
n0,0.011011305,-0.022879932,0.00971453,89.37724839,1
